% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.796	1	0	0	1	79	8	0	1	12	15	1	0	0	416
0.797	1	0	0	1	79	9	0	1	12	14	1	0	0	416
0.798	1	0	0	1	80	0	0	1	12	13	1	0	0	416
0.799	1	0	0	1	80	1	0	1	12	12	1	0	0	416
0.8	1	0	0	1	80	2	0	1	12	11	1	0	0	416
0.801	1	0	0	1	80	3	0	1	12	15	1	0	0	416
0.802	1	0	0	1	80	4	0	1	12	14	1	0	0	416
0.803	1	0	0	1	80	5	0	1	12	13	1	0	0	416
0.804	1	0	0	1	80	6	0	1	12	12	1	0	0	416
0.805	1	0	0	1	80	7	0	1	12	11	1	0	0	416
0.806	1	0	0	1	80	8	0	1	12	15	1	0	0	416
0.807	1	0	0	1	80	9	0	1	12	14	1	0	0	416
0.808	1	0	0	1	81	0	0	1	12	13	1	0	0	416
0.809	1	0	0	1	81	1	0	1	12	12	1	0	0	416
0.81	1	0	0	1	81	2	0	1	12	11	1	0	0	416
0.811	1	0	0	1	81	3	0	1	12	15	1	0	0	416
0.812	1	0	0	1	81	4	0	1	12	14	1	0	0	416
0.813	1	0	0	1	81	5	0	1	12	13	1	0	0	416
0.814	1	0	0	1	81	6	0	1	12	12	1	0	0	416
0.815	1	0	0	1	81	7	0	1	12	11	1	0	0	416
0.816	1	0	0	1	81	8	0	1	12	15	1	0	0	416
0.817	1	0	0	1	81	9	0	1	12	14	1	0	0	416
0.818	1	0	0	1	82	0	0	1	12	13	1	0	0	416
0.819	1	0	0	1	82	1	0	1	12	12	1	0	0	416
0.82	1	0	0	1	82	2	0	1	12	11	1	0	0	416
0.821	1	0	0	1	82	3	0	1	12	15	1	0	0	836
0.822	1	0	0	1	82	4	0	1	12	14	1	0	0	836
0.823	1	0	0	1	82	5	0	1	12	13	1	0	0	836
0.824	1	0	0	1	82	6	0	1	12	12	1	0	0	836
0.825	1	0	0	1	82	7	0	1	12	11	1	0	0	836
0.826	1	0	0	1	82	8	0	1	12	15	1	0	0	836
0.827	1	0	0	1	82	9	0	1	12	14	1	0	0	836
0.828	1	0	0	1	83	0	0	1	12	13	1	0	0	836
0.829	1	0	0	1	83	1	0	1	12	12	1	0	0	836
