time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.838029	1	1	4	1030	0.425827
0.839029	1	1	4	1030	0.426787
0.840029	1	1	4	1030	0.427747
0.842029	1	1	4	1030	0.429707
0.843029	1	1	4	1030	0.430667
0.844029	1	1	4	1030	0.431627
0.845029	1	1	4	1030	0.432587
0.847029	1	1	4	1030	0.434547
0.848029	1	1	4	1030	0.435507
0.849029	1	1	4	1030	0.436467
0.850029	1	1	4	1030	0.437427
0.852029	1	1	4	1030	0.439387
0.853029	1	1	4	1030	0.440347
0.854029	1	1	4	1030	0.441307
0.855029	1	1	4	1030	0.442267
0.857029	1	1	4	1030	0.444227
0.858029	1	1	4	1030	0.445187
0.858957	1	1	4	1030	0.446075
0.860029	1	1	4	1030	0.447107
0.862029	1	1	4	1030	0.449067
0.863029	1	1	4	1030	0.450027
0.864029	1	1	4	1030	0.450987
0.865029	1	1	4	1030	0.451947
0.867029	1	1	4	1030	0.453907
0.868029	1	1	4	1030	0.454867
0.869029	1	1	4	1030	0.455827
0.870029	1	1	4	1030	0.456787
0.872029	1	1	4	1030	0.458747
0.873029	1	1	4	1030	0.459707
0.874029	1	1	4	1030	0.460667
0.875029	1	1	4	1030	0.461627
0.877029	1	1	4	1030	0.463587
0.878029	1	1	4	1030	0.464547
0.879029	1	1	4	1030	0.465507
0.880029	1	1	4	1030	0.466467
0.882029	1	1	4	1030	0.468427
0.883029	1	1	4	1030	0.469387
0.884029	1	1	4	1030	0.470347
0.885029	1	1	4	1030	0.471307
0.886029	1	1	4	1030	0.472267
0.888029	1	1	4	1030	0.474227
0.889029	1	1	4	1030	0.475187
0.890029	1	1	4	1030	0.476147
0.891029	1	1	4	1030	0.477107
0.893029	1	1	4	1030	0.479067
0.894029	1	1	4	1030	0.480027
0.895029	1	1	4	1030	0.480987
0.896029	1	1	4	1030	0.481947
0.898029	1	1	4	1030	0.483907
0.899029	1	1	4	1030	0.484867
0.900029	1	1	4	1030	0.485827
0.901029	1	1	4	1030	0.486787
0.903029	1	1	4	1030	0.488747
0.904029	1	1	4	1030	0.489707
0.905029	1	1	4	1030	0.490667
0.906029	1	1	4	1030	0.491627
0.908029	1	1	4	1030	0.493587
0.909029	1	1	4	1030	0.494547
0.910029	1	1	4	1030	0.495507
0.911029	1	1	4	1030	0.496467
0.913029	1	1	4	1030	0.498427
0.914029	1	1	4	1030	0.499387
0.915029	1	1	4	1030	0.500347
0.916029	1	1	4	1030	0.501307
0.918029	1	1	4	1030	0.503267
0.919029	1	1	4	1030	0.504227
0.920029	1	1	4	1030	0.505187
0.921029	1	1	4	1030	0.506147
0.923029	1	1	4	1030	0.508107
0.924029	1	1	4	1030	0.509067
0.925029	1	1	4	1030	0.510027
0.926029	1	1	4	1030	0.510987
0.927029	1	1	4	1030	0.511947
0.929029	1	1	4	1030	0.513907
0.930029	1	1	4	1030	0.514867
0.931029	1	1	4	1030	0.515827
0.932029	1	1	4	1030	0.516787
0.934029	1	1	4	1030	0.518747
0.935029	1	1	4	1030	0.519707
0.936029	1	1	4	1030	0.520667
0.937029	1	1	4	1030	0.521627
0.938957	1	1	4	1030	0.523515
0.940029	1	1	4	1030	0.524547
0.941029	1	1	4	1030	0.525507
0.942029	1	1	4	1030	0.526467
0.944029	1	1	4	1030	0.528427
0.945029	1	1	4	1030	0.529387
0.946029	1	1	4	1030	0.530347
0.947029	1	1	4	1030	0.531307
0.949029	1	1	4	1030	0.533267
0.950029	1	1	4	1030	0.534227
0.951029	1	1	4	1030	0.535187
0.952029	1	1	4	1030	0.536147
0.954029	1	1	4	1030	0.538107
0.955029	1	1	4	1030	0.539067
0.956029	1	1	4	1030	0.540027
0.957029	1	1	4	1030	0.540987
0.959029	1	1	4	1030	0.542947
0.960029	1	1	4	1030	0.543907
0.961029	1	1	4	1030	0.544867
0.962029	1	1	4	1030	0.545827
0.964029	1	1	4	1030	0.547787
0.965029	1	1	4	1030	0.548747
0.966029	1	1	4	1030	0.549707
0.967029	1	1	4	1030	0.550667
0.969029	1	1	4	1030	0.552627
0.970029	1	1	4	1030	0.553587
0.971029	1	1	4	1030	0.554547
0.972029	1	1	4	1030	0.555507
0.974029	1	1	4	1030	0.557467
0.975029	1	1	4	1030	0.558427
0.976029	1	1	4	1030	0.559387
0.977029	1	1	4	1030	0.560347
0.978029	1	1	4	1030	0.561307
0.980029	1	1	4	1030	0.563267
0.981029	1	1	4	1030	0.564227
0.982029	1	1	4	1030	0.565187
0.983029	1	1	4	1030	0.566147
0.985029	1	1	4	1030	0.568107
0.986029	1	1	4	1030	0.569067
0.987029	1	1	4	1030	0.570027
0.988029	1	1	4	1030	0.570987
0.990029	1	1	4	1030	0.572947
0.991029	1	1	4	1030	0.573907
0.992029	1	1	4	1030	0.574867
0.993029	1	1	4	1030	0.575827
0.995029	1	1	4	1030	0.577787
0.996029	1	1	4	1030	0.578747
0.997029	1	1	4	1030	0.579707
0.998029	1	1	4	1030	0.580667
