Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.645929	DL	64	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.646929	DL	64	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.647929	DL	64	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.648929	DL	64	8	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.649929	DL	64	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.650929	DL	65	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.651929	DL	65	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.652929	DL	65	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.653929	DL	65	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.654929	DL	65	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.655929	DL	65	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.656929	DL	65	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.657929	DL	65	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.658929	DL	65	8	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.659929	DL	65	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.660929	DL	66	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.661929	DL	66	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.662929	DL	66	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.663929	DL	66	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.664929	DL	66	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.665929	DL	66	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.666929	DL	66	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.667929	DL	66	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.668929	DL	66	8	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.669929	DL	66	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.670929	DL	67	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.671929	DL	67	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.672929	DL	67	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.673929	DL	67	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.674929	DL	67	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.675929	DL	67	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.676929	DL	67	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.677929	DL	67	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.678929	DL	67	8	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.679929	DL	67	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.680929	DL	68	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.681929	DL	68	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.682929	DL	68	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.683929	DL	68	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.684929	DL	68	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.685929	DL	68	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.686929	DL	68	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.687929	DL	68	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.688929	DL	68	8	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.689929	DL	68	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.690929	DL	69	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.691929	DL	69	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.692929	DL	69	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.693929	DL	69	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.694929	DL	69	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.695929	DL	69	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.696929	DL	69	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.697929	DL	69	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.698857	DL	69	8	0	1	11	1	0	1	766	0	2	0	49.804	15	0	0
0.699929	DL	69	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.700929	DL	70	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.701929	DL	70	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.702929	DL	70	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.703929	DL	70	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.704929	DL	70	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.705929	DL	70	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.706929	DL	70	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.707929	DL	70	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.708929	DL	70	8	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.709929	DL	70	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.710929	DL	71	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.711929	DL	71	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.712929	DL	71	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.713929	DL	71	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.714929	DL	71	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.715929	DL	71	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.716929	DL	71	6	0	1	12	1	0	1	836	0	2	0	45.6964	15	0	0
0.717929	DL	71	7	0	1	12	1	0	1	836	0	2	0	45.6964	15	0	0
0.718929	DL	71	8	0	1	12	1	0	1	836	0	2	0	45.6964	15	0	0
0.719929	DL	71	9	0	1	12	1	0	1	836	0	2	0	45.6964	15	0	0
0.720929	DL	72	0	0	1	12	1	0	1	836	0	2	0	45.6964	15	0	0
0.721929	DL	72	1	0	1	12	1	0	1	836	0	2	0	45.6964	15	0	0
0.722929	DL	72	2	0	1	12	1	0	1	416	0	1	0	48.7034	15	0	0
0.723929	DL	72	3	0	1	12	1	0	1	416	0	1	0	48.7034	15	0	0
